frame,time_remaining,score_a,score_b
70920,16,0,1
70980,435,0,1
71040,433,0,1
71100,431,0,1
71160,437,0,1
71220,,0,1
71280,10,0,1
71340,,0,1
71400,,0,1
71460,,0,1
71520,,0,1
71580,,0,1
71640,,0,1
71700,,0,1
71760,,0,1
71820,,0,1
71880,,0,1
71940,,0,1
72000,,0,1
72060,,0,1
72120,,0,1
72180,,0,1
72240,,0,1
72300,,0,1
72360,,0,1
72420,,0,1
72480,,0,1
72540,,0,1
72600,,0,1
72660,33,0,1
72720,451,0,1
72780,37,0,1
72840,,0,1
72900,30,0,1
72960,12,0,1
73020,437,0,1
73080,438,0,1
73140,16,0,1
73200,435,0,1
73260,433,0,1
73320,431,0,1
73380,437,0,1
73440,,0,1
73500,10,0,1
73560,,0,1
73620,,,
73680,,,
73740,,,
73800,,,
73860,,,
73920,,,
73980,,,
74040,,,
74100,,,
74160,,,
74220,,,
74280,,,
74340,,,
74400,,188,188
74460,,188,188
74520,,188,188
74580,,188,188
74640,,188,188
74700,,188,188
74760,,188,188
74820,,188,188
74880,,188,188
74940,,,
75000,,,
75060,,,
75120,,,
75180,,,
75240,,,
75300,,,
75360,,,
75420,,,
75480,,,
75540,,,
75600,,,
75660,,,
75720,,,
75780,,0,8
75840,,0,8
75900,,0,8
75960,,0,8
76020,,0,8
76080,,0,8
76140,,0,8
76200,,0,8
76260,,0,8
76320,,0,8
76380,,0,8
76440,,0,8
76500,,0,8
76560,,0,8
76620,,0,8
76680,,0,8
76740,,0,8
76800,,0,8
76860,,0,8
76920,,0,8
76980,,0,8
77040,,0,8
77100,33,0,8
77160,451,0,8
77220,37,0,8
77280,,0,8
77340,30,0,8
77400,12,0,8
77460,437,0,8
77520,438,0,8
77580,16,0,8
77640,435,0,8
77700,443,0,8
77760,431,0,8
77820,437,0,8
77880,,,
77940,,188,188
78000,,188,188
78060,,188,188
78120,,188,188
78180,,188,188
78240,,188,188
78300,,188,188
78360,,188,188
78420,,188,188
78480,,188,188
78540,,188,188
78600,,188,
78660,,188,188
78720,,188,188
78780,,,
78840,,,
78900,,,
78960,,,
79020,,,
79080,,,
79140,,,
79200,,,
79260,,,
79320,,,
79380,,,
79440,,,
79500,,,
79560,,,
79620,,,
79680,,,
79740,,,
79800,,,
79860,,188,188
79920,,188,188
79980,,188,188
80040,,,
80100,,,
80160,,,
80220,,,
80280,,,
80340,,1,8
80400,,1,8
80460,,1,8
80520,,1,8
80580,,1,8
80640,,1,8
80700,,1,8
80760,,1,8
80820,,1,8
80880,,1,8
80940,,1,8
81000,,1,8
81060,,1,8
81120,,1,8
81180,,1,8
81240,,1,8
81300,,1,8
81360,,1,8
81420,,1,8
81480,33,1,8
81540,451,1,8
81600,37,1,8
81660,,1,8
81720,39,1,8
81780,12,1,8
81840,437,1,8
81900,438,1,8
81960,16,1,8
82020,435,1,8
82080,433,1,8
82140,431,1,8
82200,437,1,8
82260,,1,8
82320,550,1,8
82380,,1,8
82440,,1,8
82500,,1,8
82560,,1,8
82620,,1,8
82680,,1,8
82740,,1,8
82800,,1,8
82860,,1,8
82920,,1,8
82980,,1,8
83040,,1,8
83100,,1,8
83160,,1,8
83220,,1,8
83280,,,144
83340,,,
83400,,,
83460,,,
83520,,,
83580,,,
83640,,,
83700,,,
83760,,164,
83820,,,
83880,,,
83940,,,
84000,,,
84060,,,
84120,,,
84180,,188,188
84240,,188,188
84300,,188,188
84360,,188,188
84420,,188,188
84480,,188,188
84540,,188,188
84600,,,
84660,,,
84720,,,
84780,,,
84840,,,
84900,,,
84960,,,
85020,,,
85080,,,
85140,,,
85200,,,
85260,,,
85320,,,
85380,,,
85440,,,
85500,,,
85560,,,
85620,,1,8
85680,,1,8
85740,,1,8
85800,,1,8
85860,,1,8
85920,,1,8
85980,,1,8
86040,,1,8
86100,,1,8
86160,,1,8
86220,,1,8
86280,,1,8
86340,,1,8
86400,,1,8
86460,,1,8
86520,,1,8
86580,,1,8
86640,,1,8
86700,,1,8
86760,,1,8
86820,,1,8
86880,,1,8
86940,,1,8
87000,,1,8
87060,,1,8
87120,,1,8
87180,,1,8
87240,,1,8
87300,,1,8
87360,52,1,8
87420,57,1,8
87480,478,1,8
87540,56,1,8
87600,55,1,8
87660,53,1,8
87720,471,1,8
87780,57,1,8
87840,,1,8
87900,59,1,8
87960,32,1,8
88020,37,1,8
88080,458,1,8
88140,36,1,8
88200,35,1,8
88260,33,1,8
88320,451,1,8
88380,37,1,8
88440,,1,8
88500,30,1,8
88560,12,1,8
88620,437,1,8
88680,438,1,8
88740,16,1,8
88800,435,1,8
88860,443,1,8
88920,431,1,8
88980,437,1,8
89040,,1,8
89100,10,1,8
89160,,1,8
89220,,1,8
89280,,1,8
89340,,1,8
89400,,1,8
89460,,1,8
89520,,1,8
89580,,1,8
89640,,1,8
89700,,1,8
89760,,1,8
89820,,1,8
89880,,,
89940,,,
90000,,,
90060,,,
90120,,,
90180,,,
90240,,,
90300,,,
90360,,,
90420,,,
90480,,,
90540,,,
90600,,,
90660,,188,188
90720,,188,188
90780,,188,188
90840,,188,188
90900,,188,188
90960,,188,188
91020,,188,188
91080,,188,188
91140,,188,188
91200,,,
91260,,,
91320,,,
91380,,,
91440,,,
91500,,,
91560,,,
91620,,,
91680,,,
91740,,,
91800,,,
91860,,,
91920,,,
91980,,,
92040,,,
92100,,,
92160,,,
92220,,1,4
92280,,1,4
92340,,1,4
92400,,1,4
92460,,1,4
92520,,1,4
92580,,1,4
92640,,1,4
92700,,1,4
92760,,1,4
92820,,1,4
92880,,1,4
92940,,1,4
93000,,1,4
93060,,1,4
93120,,1,4
93180,,1,4
93240,,1,4
93300,,1,4
93360,,1,4
93420,,1,4
93480,,1,4
93540,,1,4
93600,,1,4
93660,,1,4
93720,,1,4
93780,,1,4
93840,,1,4
93900,,1,4
93960,52,1,4
94020,57,1,4
94080,58,1,4
94140,56,1,4
94200,55,1,4
94260,53,1,4
94320,471,1,4
94380,57,1,4
94440,,1,4
94500,50,1,4
94560,32,1,4
94620,37,1,4
94680,458,1,4
94740,36,1,4
94800,35,1,4
94860,33,1,4
94920,451,1,4
94980,37,1,4
95040,,1,4
95100,30,1,4
95160,12,1,4
95220,437,1,4
95280,438,1,4
95340,16,1,4
